upload_no,date,time,folder
1,02/01/2026,15:58:48,2026-01-02_15-58-39
2,02/01/2026,16:03:30,2026-01-02_16-03-21
3,02/01/2026,16:07:25,2026-01-02_16-07-16
4,02/01/2026,16:08:05,2026-01-02_16-07-57
5,02/01/2026,16:10:29,2026-01-02_16-10-19
6,02/01/2026,16:11:14,2026-01-02_16-11-07
7,02/01/2026,16:15:42,2026-01-02_16-15-35
8,02/01/2026,16:22:05,2026-01-02_16-21-55
9,02/01/2026,16:28:26,2026-01-02_16-28-15
10,02/01/2026,16:35:12,2026-01-02_16-35-03
11,02/01/2026,16:36:51,2026-01-02_16-36-42
12,02/01/2026,16:52:36,2026-01-02_16-52-23
13,02/01/2026,16:56:41,2026-01-02_16-56-31
14,02/01/2026,16:59:53,2026-01-02_16-59-43
15,02/01/2026,18:26:02,2026-01-02_18-25-50
16,02/01/2026,18:36:03,2026-01-02_18-35-53
17,02/01/2026,18:36:31,2026-01-02_18-36-22
18,02/01/2026,18:38:29,2026-01-02_18-38-19
19,02/01/2026,18:45:09,2026-01-02_18-44-59
20,02/01/2026,18:49:16,2026-01-02_18-49-06
21,02/01/2026,18:58:28,2026-01-02_18-58-16
22,02/01/2026,19:00:42,2026-01-02_19-00-29
23,02/01/2026,19:01:41,2026-01-02_19-01-33
24,02/01/2026,19:02:27,2026-01-02_19-02-17
25,02/01/2026,19:03:55,2026-01-02_19-03-44
26,02/01/2026,19:04:53,2026-01-02_19-04-43
27,02/01/2026,19:05:04,2026-01-02_19-04-57
28,02/01/2026,19:07:51,2026-01-02_19-07-41
29,02/01/2026,19:14:32,2026-01-02_19-14-20
30,02/01/2026,19:18:47,2026-01-02_19-18-35
